Category,NrTriple,NrSubj,NrPred-Obj,AvgPairPerSubj,NrSubjObjPair
English_pop_pianists,250,25,223,10,211
Philippine_television_talk_shows,829,95,312,8,772
Red_Hot_Chili_Peppers_songs,633,56,205,11,612
Birds_of_Europe,14,6,14,2,13
1990s_American_sitcoms,5865,364,3211,16,5219
Scottish_clans,7,3,7,2,7
Swedish_death_metal_musical_groups,960,85,506,11,751
Novels_by_Stephen_King,220,45,49,4,220
Hilltowns_in_Emilia-Romagna,8,2,6,4,8
Italian_Renaissance_painters,404,64,193,6,350
Languages_of_Namibia,133,24,34,5,133
Films_produced_by_Denzel_Washington,122,8,86,15,113
Argentine_Primera_División_players,10000,557,6093,17,9927
Data_compression_software,74,20,46,3,73
Thermodynamicists,1047,50,892,20,1006
Business_intelligence_companies,364,70,223,5,358
Catholics_from_California,1363,198,1088,6,1309
Aegean_islands,61,32,13,1,61
Radio_stations_in_Germany,219,61,82,3,204
MacOS_games,10000,1250,2069,8,9520
Songs_written_by_Jim_Root,433,39,122,11,416
Companies_based_in_Manhattan,1078,148,716,7,1007
