Category,NrTriple,NrSubj,NrPred-Obj,AvgPairPerSubj,NrSubjObjPair
English_pop_pianists,6244,28,223,223,5068
Philippine_television_talk_shows,10000,96,105,104,8256
Red_Hot_Chili_Peppers_songs,10000,112,90,89,9888
Birds_of_Europe,2492,178,14,14,2314
1990s_American_sitcoms,10000,375,27,26,10000
Scottish_clans,1876,268,7,7,1876
Swedish_death_metal_musical_groups,10000,89,113,112,10000
Novels_by_Stephen_King,2254,46,49,49,2162
Hilltowns_in_Emilia-Romagna,12,2,6,6,12
Italian_Renaissance_painters,10000,541,19,18,7574
Languages_of_Namibia,1122,33,34,34,1122
Films_produced_by_Denzel_Washington,688,8,86,86,656
Argentine_Primera_División_players,10000,4177,3,2,10000
Data_compression_software,1380,30,46,46,1320
Thermodynamicists,10000,69,145,144,8896
Business_intelligence_companies,10000,75,134,133,9075
Catholics_from_California,10000,249,41,40,10000
Aegean_islands,468,36,13,13,468
Radio_stations_in_Germany,5822,71,82,82,4757
MacOS_games,10000,2592,4,3,10000
Songs_written_by_Jim_Root,5978,49,122,122,4410
Companies_based_in_Manhattan,10000,202,50,49,9596
